length,size,file_num,cache,BHR,OHR
1000,10485760,0,lfu,0.4851495,0.55900002
1000,10485760,0,lru,0.48008806,0.54799998
1000,10485760,1,lfu,0.30555415,0.52600002
1000,10485760,1,lru,0.30545771,0.49200001
1000,10485760,2,lfu,0.34159148,0.54500002
1000,10485760,2,lru,0.34147027,0.53299999
1000,10485760,3,lfu,0.46584055,0.71100003
1000,10485760,3,lru,0.46772599,0.699
1000,10485760,4,lfu,0.34158835,0.414
1000,10485760,4,lru,0.33824235,0.40200001
1000,10485760,5,lfu,0.24295002,0.42399999
1000,10485760,5,lru,0.24646348,0.41299999
1000,10485760,6,lfu,0.36529806,0.60500002
1000,10485760,6,lru,0.36279368,0.59200001
1000,10485760,7,lfu,0.41053414,0.53899997
1000,10485760,7,lru,0.40797633,0.51899999
1000,10485760,8,lfu,0.5557186,0.78500003
1000,10485760,8,lru,0.55450952,0.77600002
1000,10485760,9,lfu,0.47549993,0.61699998
1000,10485760,9,lru,0.47528887,0.59200001
1000,10485760,10,lfu,0.43134943,0.51499999
1000,10485760,10,lru,0.43880606,0.50300002
1000,10485760,11,lfu,0.41251171,0.51999998
1000,10485760,11,lru,0.41154355,0.50800002
1000,10485760,12,lfu,0.35240602,0.52600002
1000,10485760,12,lru,0.34844902,0.495
1000,10485760,13,lfu,0.36013901,0.484
1000,10485760,13,lru,0.36045659,0.479
1000,10485760,14,lfu,0.41610849,0.597
1000,10485760,14,lru,0.4097414,0.55900002
1000,10485760,15,lfu,0.51034343,0.56
1000,10485760,15,lru,0.50407624,0.514
1000,10485760,16,lfu,0.55208051,0.58899999
1000,10485760,16,lru,0.55527687,0.58600003
1000,10485760,17,lfu,0.35407159,0.53600001
1000,10485760,17,lru,0.34969556,0.51300001
1000,10485760,18,lfu,0.89746618,0.80400002
1000,10485760,18,lru,0.8948164,0.78399998
1000,10485760,19,lfu,0.37529388,0.57800001
1000,10485760,19,lru,0.37629986,0.57200003
1000,10485760,20,lfu,0.27068454,0.419
1000,10485760,20,lru,0.27242523,0.405
1000,10485760,21,lfu,0.31241742,0.55699998
1000,10485760,21,lru,0.30670455,0.51099998
1000,10485760,22,lfu,0.45648783,0.63200003
1000,10485760,22,lru,0.46024635,0.60500002
1000,10485760,23,lfu,0.4268373,0.59600002
1000,10485760,23,lru,0.42050079,0.57300001
1000,10485760,24,lfu,0.46328464,0.65100002
1000,10485760,24,lru,0.45697469,0.62900001
1000,10485760,25,lfu,0.48670354,0.68599999
1000,10485760,25,lru,0.48407364,0.67400002
1000,10485760,26,lfu,0.45688045,0.53100002
1000,10485760,26,lru,0.45176646,0.505
1000,10485760,27,lfu,0.86014056,0.90600002
1000,10485760,27,lru,0.85881323,0.903
1000,10485760,28,lfu,0.66277909,0.76300001
1000,10485760,28,lru,0.6602217,0.75099999
1000,10485760,29,lfu,0.81032604,0.85399997
1000,10485760,29,lru,0.80983585,0.85100001
1000,10485760,30,lfu,0.48362854,0.83600003
1000,10485760,30,lru,0.4825286,0.81800002
1000,10485760,31,lfu,0.37953997,0.48500001
1000,10485760,31,lru,0.39626318,0.479
1000,10485760,32,lfu,0.46474549,0.63999999
1000,10485760,32,lru,0.46404675,0.63200003
1000,10485760,33,lfu,0.50650322,0.53899997
1000,10485760,33,lru,0.50375456,0.51499999
1000,10485760,34,lfu,0.45208296,0.56599998
1000,10485760,34,lru,0.45026669,0.55299997
1000,10485760,35,lfu,0.33084032,0.49399999
1000,10485760,35,lru,0.33414152,0.491
1000,10485760,36,lfu,0.6155864,0.74900001
1000,10485760,36,lru,0.61243743,0.73699999
1000,10485760,37,lfu,0.87941056,0.81900001
1000,10485760,37,lru,0.87977475,0.81400001
1000,10485760,38,lfu,0.38486832,0.574
1000,10485760,38,lru,0.38505572,0.56800002
1000,10485760,39,lfu,0.39852828,0.60900003
1000,10485760,39,lru,0.39548042,0.59200001
1000,10485760,40,lfu,0.41071513,0.546
1000,10485760,40,lru,0.40318954,0.51599997
1000,10485760,41,lfu,0.38736534,0.55500001
1000,10485760,41,lru,0.38653612,0.54400003
1000,10485760,42,lfu,0.62788576,0.574
1000,10485760,42,lru,0.62243611,0.56
1000,10485760,43,lfu,0.43213266,0.55500001
1000,10485760,43,lru,0.42907292,0.51700002
1000,10485760,44,lfu,0.42005658,0.52100003
1000,10485760,44,lru,0.41517714,0.50099999
1000,10485760,45,lfu,0.63682753,0.84799999
1000,10485760,45,lru,0.63252252,0.84100002
1000,10485760,46,lfu,0.61207145,0.63599998
1000,10485760,46,lru,0.616467,0.63499999
1000,10485760,47,lfu,0.94407636,0.83499998
1000,10485760,47,lru,0.94345528,0.82099998
1000,10485760,48,lfu,0.43799528,0.57599998
1000,10485760,48,lru,0.43387237,0.53299999
1000,10485760,49,lfu,0.47339189,0.83099997
1000,10485760,49,lru,0.4730919,0.82999998
1000,10485760,50,lfu,0.36018687,0.49900001
1000,10485760,50,lru,0.36290258,0.495
1000,10485760,51,lfu,0.66416502,0.66799998
1000,10485760,51,lru,0.66251481,0.66299999
1000,10485760,52,lfu,0.46129331,0.58200002
1000,10485760,52,lru,0.45932496,0.57200003
1000,10485760,53,lfu,0.48561117,0.57999998
1000,10485760,53,lru,0.48223814,0.55900002
1000,10485760,54,lfu,0.50297308,0.67400002
1000,10485760,54,lru,0.50185436,0.66399997
1000,10485760,55,lfu,0.87732631,0.85699999
1000,10485760,55,lru,0.87596673,0.85000002
1000,10485760,56,lfu,0.39732352,0.52999997
1000,10485760,56,lru,0.39128646,0.50599998
1000,10485760,57,lfu,0.3994554,0.52700001
1000,10485760,57,lru,0.39618182,0.505
1000,10485760,58,lfu,0.30300027,0.414
1000,10485760,58,lru,0.30574441,0.40700001
1000,10485760,59,lfu,0.73524809,0.847
1000,10485760,59,lru,0.73354119,0.83700001
1000,10485760,60,lfu,0.44765133,0.63300002
1000,10485760,60,lru,0.44233644,0.60799998
1000,10485760,61,lfu,0.40281752,0.60100001
1000,10485760,61,lru,0.399753,0.58099997
1000,10485760,62,lfu,0.30363709,0.53600001
1000,10485760,62,lru,0.30598953,0.50099999
1000,10485760,63,lfu,0.49780566,0.73500001
1000,10485760,63,lru,0.49894556,0.72000003
1000,10485760,64,lfu,0.41809461,0.55000001
1000,10485760,64,lru,0.41607091,0.54000002
1000,10485760,65,lfu,0.51756722,0.69800001
1000,10485760,65,lru,0.50897014,0.68000001
1000,10485760,66,lfu,0.54496902,0.66299999
1000,10485760,66,lru,0.54950964,0.64899999
1000,10485760,67,lfu,0.44522467,0.63300002
1000,10485760,67,lru,0.44497156,0.62300003
1000,10485760,68,lfu,0.67564297,0.72100002
1000,10485760,68,lru,0.67244017,0.699
1000,10485760,69,lfu,0.40906709,0.53899997
1000,10485760,69,lru,0.40620321,0.51099998
1000,10485760,70,lfu,0.39051068,0.53399998
1000,10485760,70,lru,0.38617969,0.50400001
1000,10485760,71,lfu,0.50178951,0.68800002
1000,10485760,71,lru,0.50282794,0.67699999
1000,10485760,72,lfu,0.38710928,0.56400001
1000,10485760,72,lru,0.38737965,0.54699999
1000,10485760,73,lfu,0.3397789,0.546
1000,10485760,73,lru,0.33314314,0.50599998
1000,10485760,74,lfu,0.51191401,0.61299998
1000,10485760,74,lru,0.50550538,0.58999997
1000,10485760,75,lfu,0.28591731,0.50099999
1000,10485760,75,lru,0.28973153,0.493
1000,10485760,76,lfu,0.50092942,0.63599998
1000,10485760,76,lru,0.5020355,0.62300003
1000,10485760,77,lfu,0.40725881,0.54100001
1000,10485760,77,lru,0.40164283,0.51300001
1000,10485760,78,lfu,0.5588342,0.82099998
1000,10485760,78,lru,0.55866826,0.81999999
1000,10485760,79,lfu,0.33071321,0.435
1000,10485760,79,lru,0.33047152,0.41499999
1000,10485760,80,lfu,0.80664545,0.81699997
1000,10485760,80,lru,0.80474693,0.80400002
1000,10485760,81,lfu,0.37249687,0.59600002
1000,10485760,81,lru,0.37264016,0.58399999
1000,10485760,82,lfu,0.49451616,0.60600001
1000,10485760,82,lru,0.48741949,0.58499998
1000,10485760,83,lfu,0.97183067,0.972
1000,10485760,83,lru,0.97183067,0.972
1000,10485760,84,lfu,0.29862994,0.546
1000,10485760,84,lru,0.29560581,0.509
1000,10485760,85,lfu,0.33826959,0.56800002
1000,10485760,85,lru,0.33602208,0.52499998
1000,10485760,86,lfu,0.33311325,0.53500003
1000,10485760,86,lru,0.33009115,0.51499999
1000,10485760,87,lfu,0.58610553,0.648
1000,10485760,87,lru,0.58493793,0.62800002
1000,10485760,88,lfu,0.31898367,0.51700002
1000,10485760,88,lru,0.31478968,0.493
1000,10485760,89,lfu,0.8881343,0.87900001
1000,10485760,89,lru,0.8877449,0.875
1000,10485760,90,lfu,0.45264682,0.55699998
1000,10485760,90,lru,0.44899672,0.54799998
1000,10485760,91,lfu,0.42863736,0.62300003
1000,10485760,91,lru,0.42760029,0.62
1000,10485760,92,lfu,0.28017867,0.51899999
1000,10485760,92,lru,0.28255421,0.47400001
1000,10485760,93,lfu,0.30499133,0.403
1000,10485760,93,lru,0.31062838,0.403
1000,10485760,94,lfu,0.31949437,0.477
1000,10485760,94,lru,0.32381442,0.47
1000,10485760,95,lfu,0.32121584,0.54400003
1000,10485760,95,lru,0.31575444,0.51099998
1000,10485760,96,lfu,0.43630168,0.62
1000,10485760,96,lru,0.43261844,0.60799998
1000,10485760,97,lfu,0.3902978,0.53799999
1000,10485760,97,lru,0.38768351,0.514
1000,10485760,98,lfu,0.30268404,0.47499999
1000,10485760,98,lru,0.30146366,0.465
1000,10485760,99,lfu,0.42460138,0.69300002
1000,10485760,99,lru,0.42395034,0.68699998
1000,10485760,100,lfu,0.45239827,0.55299997
1000,10485760,100,lru,0.45910794,0.55199999
1000,10485760,101,lfu,0.58627117,0.64300001
1000,10485760,101,lru,0.58486724,0.634
1000,10485760,102,lfu,0.33684838,0.54100001
1000,10485760,102,lru,0.33276099,0.51800001
1000,10485760,103,lfu,0.46052718,0.57800001
1000,10485760,103,lru,0.46293518,0.565
1000,10485760,104,lfu,0.39849144,0.51999998
1000,10485760,104,lru,0.39583927,0.498
1000,10485760,105,lfu,0.28458658,0.505
1000,10485760,105,lru,0.28292856,0.477
1000,10485760,106,lfu,0.30356777,0.43599999
1000,10485760,106,lru,0.30452502,0.428
1000,10485760,107,lfu,0.50546652,0.667
1000,10485760,107,lru,0.49951869,0.63700002
1000,10485760,108,lfu,0.41575697,0.51999998
1000,10485760,108,lru,0.40831107,0.47799999
1000,10485760,109,lfu,0.4555189,0.60399997
1000,10485760,109,lru,0.44722033,0.52399999
1000,10485760,110,lfu,0.29157701,0.53100002
1000,10485760,110,lru,0.28710616,0.5
1000,10485760,111,lfu,0.39708698,0.58099997
1000,10485760,111,lru,0.39800125,0.56699997
1000,10485760,112,lfu,0.9246425,0.89899999
1000,10485760,112,lru,0.92437416,0.89899999
1000,10485760,113,lfu,0.71432239,0.884
1000,10485760,113,lru,0.71507776,0.88200003
1000,10485760,114,lfu,0.37714237,0.61400002
1000,10485760,114,lru,0.37316796,0.597
1000,10485760,115,lfu,0.46414602,0.67000002
1000,10485760,115,lru,0.45850453,0.648
1000,10485760,116,lfu,0.80097568,0.634
1000,10485760,116,lru,0.79731995,0.62599999
1000,10485760,117,lfu,0.33377281,0.565
1000,10485760,117,lru,0.33055365,0.54799998
1000,10485760,118,lfu,0.388668,0.51300001
1000,10485760,118,lru,0.38737738,0.46900001
1000,10485760,119,lfu,0.66185027,0.80699998
1000,10485760,119,lru,0.65638608,0.80000001
1000,10485760,120,lfu,0.35403159,0.523
1000,10485760,120,lru,0.35161775,0.50400001
1000,10485760,121,lfu,0.7806021,0.81599998
1000,10485760,121,lru,0.78007483,0.80900002
1000,10485760,122,lfu,0.35769793,0.52100003
1000,10485760,122,lru,0.35507849,0.49900001
1000,10485760,123,lfu,0.33148843,0.46000001
1000,10485760,123,lru,0.33037096,0.447
1000,10485760,124,lfu,0.43863717,0.82200003
1000,10485760,124,lru,0.4471626,0.82800001
1000,10485760,125,lfu,0.34258866,0.53299999
1000,10485760,125,lru,0.34633172,0.493
1000,10485760,126,lfu,0.47500488,0.542
1000,10485760,126,lru,0.47261411,0.50999999
1000,10485760,127,lfu,0.32622182,0.505
1000,10485760,127,lru,0.3277722,0.493
1000,10485760,128,lfu,0.38800126,0.52499998
1000,10485760,128,lru,0.38525969,0.50700003
1000,10485760,129,lfu,0.40535411,0.53299999
1000,10485760,129,lru,0.40191698,0.50400001
1000,10485760,130,lfu,0.48640093,0.653
1000,10485760,130,lru,0.48269922,0.64200002
1000,10485760,131,lfu,0.30002263,0.574
1000,10485760,131,lru,0.29708427,0.54799998
1000,10485760,132,lfu,0.42301613,0.51800001
1000,10485760,132,lru,0.42248943,0.50099999
1000,10485760,133,lfu,0.34408572,0.56300002
1000,10485760,133,lru,0.33570006,0.509
1000,10485760,134,lfu,0.5435372,0.54799998
1000,10485760,134,lru,0.54207003,0.53200001
1000,10485760,135,lfu,0.36673051,0.53299999
1000,10485760,135,lru,0.36073637,0.51499999
1000,10485760,136,lfu,0.39700967,0.49900001
1000,10485760,136,lru,0.39844608,0.491
1000,10485760,137,lfu,0.45516106,0.59799999
1000,10485760,137,lru,0.45440882,0.58399999
1000,10485760,138,lfu,0.40021622,0.54000002
1000,10485760,138,lru,0.39678901,0.51300001
1000,10485760,139,lfu,0.4095515,0.63800001
1000,10485760,139,lru,0.40228641,0.60900003
1000,10485760,140,lfu,0.31846759,0.542
1000,10485760,140,lru,0.31472257,0.523
1000,10485760,141,lfu,0.5548169,0.62699997
1000,10485760,141,lru,0.55139011,0.60900003
1000,10485760,142,lfu,0.87096989,0.847
1000,10485760,142,lru,0.87089187,0.85000002
1000,10485760,143,lfu,0.42842504,0.53500003
1000,10485760,143,lru,0.43070251,0.51999998
1000,10485760,144,lfu,0.46972784,0.57800001
1000,10485760,144,lru,0.47361529,0.574
1000,10485760,145,lfu,0.79308289,0.68099999
1000,10485760,145,lru,0.77014965,0.66600001
1000,10485760,146,lfu,0.36715344,0.54100001
1000,10485760,146,lru,0.36659294,0.51300001
1000,10485760,147,lfu,0.36656827,0.52600002
1000,10485760,147,lru,0.36461186,0.50700003
1000,10485760,148,lfu,0.82627934,0.80900002
1000,10485760,148,lru,0.8257091,0.80699998
1000,10485760,149,lfu,0.92471391,0.829
1000,10485760,149,lru,0.92721552,0.82499999
1000,10485760,150,lfu,0.49722016,0.74400002
1000,10485760,150,lru,0.5015294,0.73199999
1000,10485760,151,lfu,0.3009159,0.58700001
1000,10485760,151,lru,0.30246624,0.579
1000,10485760,152,lfu,0.35721737,0.59200001
1000,10485760,152,lru,0.35674191,0.58700001
1000,10485760,153,lfu,0.54917687,0.61400002
1000,10485760,153,lru,0.55989081,0.60399997
1000,10485760,154,lfu,0.37182307,0.53399998
1000,10485760,154,lru,0.37123355,0.51499999
