length,cache size,datatype,red. length,neigh. num,train score,test score
1000,10485760,['size' 'time'],5,1,1.0,0.4742857142857143
1000,10485760,['size' 'time'],5,2,0.9633333333333334,0.46
1000,10485760,['size' 'time'],5,3,0.9666666666666667,0.49
1000,10485760,['size' 'time'],5,4,0.9633333333333334,0.47714285714285715
1000,10485760,['size' 'time'],5,5,0.9633333333333334,0.49142857142857144
1000,10485760,['size' 'time'],5,6,0.9633333333333334,0.48857142857142855
1000,10485760,['size' 'time'],5,7,0.9666666666666667,0.5028571428571429
1000,10485760,['size' 'time'],5,8,0.9633333333333334,0.4942857142857143
1000,10485760,['size' 'time'],5,9,0.9633333333333334,0.49857142857142855
1000,10485760,['size' 'time'],5,10,0.9633333333333334,0.49857142857142855
1000,33554432,['size' 'time'],5,1,1.0,0.37857142857142856
1000,33554432,['size' 'time'],5,2,0.9833333333333333,0.4057142857142857
1000,33554432,['size' 'time'],5,3,0.99,0.4142857142857143
1000,33554432,['size' 'time'],5,4,0.9733333333333334,0.41714285714285715
1000,33554432,['size' 'time'],5,5,0.9766666666666667,0.4185714285714286
1000,33554432,['size' 'time'],5,6,0.97,0.4142857142857143
1000,33554432,['size' 'time'],5,7,0.97,0.4142857142857143
1000,33554432,['size' 'time'],5,8,0.9666666666666667,0.4185714285714286
1000,33554432,['size' 'time'],5,9,0.9666666666666667,0.42
1000,33554432,['size' 'time'],5,10,0.9666666666666667,0.4185714285714286
1000,67108864,['size' 'time'],5,1,1.0,0.48714285714285716
1000,67108864,['size' 'time'],5,2,0.9466666666666667,0.5042857142857143
1000,67108864,['size' 'time'],5,3,0.95,0.5128571428571429
1000,67108864,['size' 'time'],5,4,0.9466666666666667,0.5228571428571429
1000,67108864,['size' 'time'],5,5,0.9433333333333334,0.5371428571428571
1000,67108864,['size' 'time'],5,6,0.9433333333333334,0.5357142857142857
1000,67108864,['size' 'time'],5,7,0.9366666666666666,0.5342857142857143
1000,67108864,['size' 'time'],5,8,0.9333333333333333,0.5514285714285714
1000,67108864,['size' 'time'],5,9,0.9333333333333333,0.5457142857142857
1000,67108864,['size' 'time'],5,10,0.9333333333333333,0.5528571428571428
1000,134217728,['size' 'time'],5,1,1.0,0.5271428571428571
1000,134217728,['size' 'time'],5,2,0.9733333333333334,0.54
1000,134217728,['size' 'time'],5,3,0.9766666666666667,0.5614285714285714
1000,134217728,['size' 'time'],5,4,0.9533333333333334,0.5557142857142857
1000,134217728,['size' 'time'],5,5,0.97,0.56
1000,134217728,['size' 'time'],5,6,0.9566666666666667,0.5628571428571428
1000,134217728,['size' 'time'],5,7,0.9633333333333334,0.5714285714285714
1000,134217728,['size' 'time'],5,8,0.95,0.5714285714285714
1000,134217728,['size' 'time'],5,9,0.9533333333333334,0.5771428571428572
1000,134217728,['size' 'time'],5,10,0.9466666666666667,0.5771428571428572
1000,167772160,['size' 'time'],5,1,1.0,0.5257142857142857
1000,167772160,['size' 'time'],5,2,0.98,0.5485714285714286
1000,167772160,['size' 'time'],5,3,0.9766666666666667,0.55
1000,167772160,['size' 'time'],5,4,0.9533333333333334,0.5528571428571428
1000,167772160,['size' 'time'],5,5,0.96,0.5542857142857143
1000,167772160,['size' 'time'],5,6,0.9566666666666667,0.5571428571428572
1000,167772160,['size' 'time'],5,7,0.96,0.5485714285714286
1000,167772160,['size' 'time'],5,8,0.9566666666666667,0.5457142857142857
1000,167772160,['size' 'time'],5,9,0.9633333333333334,0.5485714285714286
1000,167772160,['size' 'time'],5,10,0.9633333333333334,0.5442857142857143
1000,201326592,['size' 'time'],5,1,1.0,0.5314285714285715
1000,201326592,['size' 'time'],5,2,0.9933333333333333,0.5457142857142857
1000,201326592,['size' 'time'],5,3,0.99,0.5357142857142857
1000,201326592,['size' 'time'],5,4,0.9766666666666667,0.5328571428571428
1000,201326592,['size' 'time'],5,5,0.9766666666666667,0.5342857142857143
1000,201326592,['size' 'time'],5,6,0.9766666666666667,0.5385714285714286
1000,201326592,['size' 'time'],5,7,0.9766666666666667,0.5371428571428571
1000,201326592,['size' 'time'],5,8,0.98,0.5485714285714286
1000,201326592,['size' 'time'],5,9,0.9733333333333334,0.5385714285714286
1000,201326592,['size' 'time'],5,10,0.9733333333333334,0.5442857142857143
1000,234881024,['size' 'time'],5,1,1.0,0.5514285714285714
1000,234881024,['size' 'time'],5,2,0.9933333333333333,0.5871428571428572
1000,234881024,['size' 'time'],5,3,0.9966666666666667,0.5642857142857143
1000,234881024,['size' 'time'],5,4,0.9833333333333333,0.57
1000,234881024,['size' 'time'],5,5,0.9933333333333333,0.5671428571428572
1000,234881024,['size' 'time'],5,6,0.9833333333333333,0.5742857142857143
1000,234881024,['size' 'time'],5,7,0.9866666666666667,0.5714285714285714
1000,234881024,['size' 'time'],5,8,0.9766666666666667,0.5885714285714285
1000,234881024,['size' 'time'],5,9,0.9766666666666667,0.5857142857142857
1000,234881024,['size' 'time'],5,10,0.9733333333333334,0.59
1000,268435456,['size' 'time'],5,1,1.0,0.5628571428571428
1000,268435456,['size' 'time'],5,2,0.9866666666666667,0.6
1000,268435456,['size' 'time'],5,3,0.9866666666666667,0.5885714285714285
1000,268435456,['size' 'time'],5,4,0.9866666666666667,0.5871428571428572
1000,268435456,['size' 'time'],5,5,0.9866666666666667,0.5828571428571429
1000,268435456,['size' 'time'],5,6,0.9866666666666667,0.5842857142857143
1000,268435456,['size' 'time'],5,7,0.9866666666666667,0.5871428571428572
1000,268435456,['size' 'time'],5,8,0.9866666666666667,0.5914285714285714
1000,268435456,['size' 'time'],5,9,0.9866666666666667,0.5885714285714285
1000,268435456,['size' 'time'],5,10,0.9866666666666667,0.5871428571428572
1000,536870912,['size' 'time'],5,1,1.0,1.0
1000,536870912,['size' 'time'],5,2,1.0,1.0
1000,536870912,['size' 'time'],5,3,1.0,1.0
1000,536870912,['size' 'time'],5,4,1.0,1.0
1000,536870912,['size' 'time'],5,5,1.0,1.0
1000,536870912,['size' 'time'],5,6,1.0,1.0
1000,536870912,['size' 'time'],5,7,1.0,1.0
1000,536870912,['size' 'time'],5,8,1.0,1.0
1000,536870912,['size' 'time'],5,9,1.0,1.0
1000,536870912,['size' 'time'],5,10,1.0,1.0
1000,1073741824,['size' 'time'],5,1,1.0,1.0
1000,1073741824,['size' 'time'],5,2,1.0,1.0
1000,1073741824,['size' 'time'],5,3,1.0,1.0
1000,1073741824,['size' 'time'],5,4,1.0,1.0
1000,1073741824,['size' 'time'],5,5,1.0,1.0
1000,1073741824,['size' 'time'],5,6,1.0,1.0
1000,1073741824,['size' 'time'],5,7,1.0,1.0
1000,1073741824,['size' 'time'],5,8,1.0,1.0
1000,1073741824,['size' 'time'],5,9,1.0,1.0
1000,1073741824,['size' 'time'],5,10,1.0,1.0
1000,2147483648,['size' 'time'],5,1,1.0,1.0
1000,2147483648,['size' 'time'],5,2,1.0,1.0
1000,2147483648,['size' 'time'],5,3,1.0,1.0
1000,2147483648,['size' 'time'],5,4,1.0,1.0
1000,2147483648,['size' 'time'],5,5,1.0,1.0
1000,2147483648,['size' 'time'],5,6,1.0,1.0
1000,2147483648,['size' 'time'],5,7,1.0,1.0
1000,2147483648,['size' 'time'],5,8,1.0,1.0
1000,2147483648,['size' 'time'],5,9,1.0,1.0
1000,2147483648,['size' 'time'],5,10,1.0,1.0
1000,10485760,['size'],5,1,1.0,0.36
1000,10485760,['size'],5,2,0.9833333333333333,0.3385714285714286
1000,10485760,['size'],5,3,0.9866666666666667,0.3842857142857143
1000,10485760,['size'],5,4,0.98,0.38142857142857145
1000,10485760,['size'],5,5,0.98,0.39285714285714285
1000,10485760,['size'],5,6,0.9733333333333334,0.39
1000,10485760,['size'],5,7,0.98,0.4
1000,10485760,['size'],5,8,0.9666666666666667,0.39285714285714285
1000,10485760,['size'],5,9,0.9666666666666667,0.4
1000,10485760,['size'],5,10,0.9633333333333334,0.4
1000,33554432,['size'],5,1,1.0,0.45571428571428574
1000,33554432,['size'],5,2,0.9833333333333333,0.4471428571428571
1000,33554432,['size'],5,3,0.99,0.4714285714285714
1000,33554432,['size'],5,4,0.9833333333333333,0.48857142857142855
1000,33554432,['size'],5,5,0.9833333333333333,0.49714285714285716
1000,33554432,['size'],5,6,0.9766666666666667,0.5071428571428571
1000,33554432,['size'],5,7,0.98,0.5142857142857142
1000,33554432,['size'],5,8,0.98,0.5085714285714286
1000,33554432,['size'],5,9,0.98,0.5157142857142857
1000,33554432,['size'],5,10,0.97,0.52
1000,67108864,['size'],5,1,1.0,0.41285714285714287
1000,67108864,['size'],5,2,0.97,0.45285714285714285
1000,67108864,['size'],5,3,0.9833333333333333,0.4257142857142857
1000,67108864,['size'],5,4,0.9733333333333334,0.4514285714285714
1000,67108864,['size'],5,5,0.9833333333333333,0.4657142857142857
1000,67108864,['size'],5,6,0.9733333333333334,0.47
1000,67108864,['size'],5,7,0.98,0.4742857142857143
1000,67108864,['size'],5,8,0.9733333333333334,0.4785714285714286
1000,67108864,['size'],5,9,0.9866666666666667,0.47714285714285715
1000,67108864,['size'],5,10,0.97,0.4685714285714286
1000,134217728,['size'],5,1,1.0,0.5242857142857142
1000,134217728,['size'],5,2,0.98,0.5528571428571428
1000,134217728,['size'],5,3,0.9833333333333333,0.5557142857142857
1000,134217728,['size'],5,4,0.9633333333333334,0.5614285714285714
1000,134217728,['size'],5,5,0.9733333333333334,0.5657142857142857
1000,134217728,['size'],5,6,0.9633333333333334,0.5714285714285714
1000,134217728,['size'],5,7,0.9633333333333334,0.5714285714285714
1000,134217728,['size'],5,8,0.95,0.57
1000,134217728,['size'],5,9,0.95,0.57
1000,134217728,['size'],5,10,0.9433333333333334,0.57
1000,167772160,['size'],5,1,1.0,0.5157142857142857
1000,167772160,['size'],5,2,0.9733333333333334,0.5328571428571428
1000,167772160,['size'],5,3,0.97,0.5357142857142857
