length,size,datatype,metric,NeighNum,res_train (mean),res_test (mean),res_train,res_test,train_nums,test_nums,pred_nums
1000,10485760,['size' 'time'],braycurtis,1,1.0,0.6928571428571428,300,485,[ 74 213  13],[163 503  34],[ 12 473   0]
1000,10485760,['size' 'time'],braycurtis,2,0.9366666666666666,0.6757142857142857,281,473,[ 74 213  13],[163 503  34],[ 23 450   0]
1000,10485760,['size' 'time'],braycurtis,3,0.7433333333333333,0.7128571428571429,223,499,[ 74 213  13],[163 503  34],[  3 496   0]
1000,10485760,['size' 'time'],braycurtis,4,0.7866666666666666,0.7014285714285714,236,491,[ 74 213  13],[163 503  34],[  3 488   0]
1000,10485760,['size' 'time'],braycurtis,5,0.73,0.71,219,497,[ 74 213  13],[163 503  34],[  0 497   0]
1000,10485760,['size' 'time'],braycurtis,6,0.7333333333333333,0.7028571428571428,220,492,[ 74 213  13],[163 503  34],[  1 491   0]
1000,10485760,['size' 'time'],braycurtis,7,0.7166666666666667,0.7071428571428572,215,495,[ 74 213  13],[163 503  34],[  0 495   0]
1000,10485760,['size' 'time'],braycurtis,8,0.7233333333333334,0.7042857142857143,217,493,[ 74 213  13],[163 503  34],[  1 492   0]
1000,10485760,['size' 'time'],braycurtis,9,0.7166666666666667,0.7085714285714285,215,496,[ 74 213  13],[163 503  34],[  1 495   0]
1000,10485760,['size' 'time'],braycurtis,10,0.72,0.7071428571428572,216,495,[ 74 213  13],[163 503  34],[  1 494   0]
1000,10485760,['size' 'time'],canberra,1,1.0,0.6428571428571429,300,450,[ 74 213  13],[163 503  34],[ 32 417   1]
1000,10485760,['size' 'time'],canberra,2,0.8533333333333334,0.5842857142857143,256,409,[ 74 213  13],[163 503  34],[ 52 357   0]
1000,10485760,['size' 'time'],canberra,3,0.7666666666666667,0.6685714285714286,230,468,[ 74 213  13],[163 503  34],[ 22 446   0]
1000,10485760,['size' 'time'],canberra,4,0.7566666666666667,0.6628571428571428,227,464,[ 74 213  13],[163 503  34],[ 26 438   0]
1000,10485760,['size' 'time'],canberra,5,0.7466666666666667,0.6885714285714286,224,482,[ 74 213  13],[163 503  34],[ 17 465   0]
1000,10485760,['size' 'time'],canberra,6,0.74,0.67,222,469,[ 74 213  13],[163 503  34],[ 15 454   0]
1000,10485760,['size' 'time'],canberra,7,0.75,0.6857142857142857,225,480,[ 74 213  13],[163 503  34],[ 16 464   0]
1000,10485760,['size' 'time'],canberra,8,0.7333333333333333,0.7028571428571428,220,492,[ 74 213  13],[163 503  34],[ 14 478   0]
1000,10485760,['size' 'time'],canberra,9,0.73,0.6971428571428572,219,488,[ 74 213  13],[163 503  34],[ 11 477   0]
1000,10485760,['size' 'time'],canberra,10,0.7133333333333334,0.7042857142857143,214,493,[ 74 213  13],[163 503  34],[  7 486   0]
1000,10485760,['size' 'time'],chebyshev,1,1.0,0.5714285714285714,300,400,[ 74 213  13],[163 503  34],[ 49 351   0]
1000,10485760,['size' 'time'],chebyshev,2,0.72,0.5,216,350,[ 74 213  13],[163 503  34],[ 77 273   0]
1000,10485760,['size' 'time'],chebyshev,3,0.74,0.6214285714285714,222,435,[ 74 213  13],[163 503  34],[ 33 402   0]
1000,10485760,['size' 'time'],chebyshev,4,0.7233333333333334,0.5871428571428572,217,411,[ 74 213  13],[163 503  34],[ 47 364   0]
1000,10485760,['size' 'time'],chebyshev,5,0.7466666666666667,0.6557142857142857,224,459,[ 74 213  13],[163 503  34],[ 21 438   0]
1000,10485760,['size' 'time'],chebyshev,6,0.7466666666666667,0.6514285714285715,224,456,[ 74 213  13],[163 503  34],[ 34 422   0]
1000,10485760,['size' 'time'],chebyshev,7,0.7333333333333333,0.6914285714285714,220,484,[ 74 213  13],[163 503  34],[ 16 468   0]
1000,10485760,['size' 'time'],chebyshev,8,0.7366666666666667,0.6828571428571428,221,478,[ 74 213  13],[163 503  34],[ 20 458   0]
1000,10485760,['size' 'time'],chebyshev,9,0.72,0.6985714285714286,216,489,[ 74 213  13],[163 503  34],[ 10 479   0]
1000,10485760,['size' 'time'],chebyshev,10,0.7166666666666667,0.6957142857142857,215,487,[ 74 213  13],[163 503  34],[ 13 474   0]
1000,10485760,['size' 'time'],cityblock,1,1.0,0.5185714285714286,300,363,[ 74 213  13],[163 503  34],[ 20 341   2]
1000,10485760,['size' 'time'],cityblock,2,0.8533333333333334,0.53,256,371,[ 74 213  13],[163 503  34],[ 50 321   0]
1000,10485760,['size' 'time'],cityblock,3,0.7166666666666667,0.5414285714285715,215,379,[ 74 213  13],[163 503  34],[ 31 348   0]
1000,10485760,['size' 'time'],cityblock,4,0.7566666666666667,0.5814285714285714,227,407,[ 74 213  13],[163 503  34],[ 33 374   0]
1000,10485760,['size' 'time'],cityblock,5,0.6833333333333333,0.5742857142857143,205,402,[ 74 213  13],[163 503  34],[ 26 376   0]
1000,10485760,['size' 'time'],cityblock,6,0.79,0.7185714285714285,237,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size' 'time'],cityblock,7,0.7933333333333333,0.72,238,504,[ 74 213  13],[163 503  34],[  1 503   0]
1000,10485760,['size' 'time'],cityblock,8,0.7266666666666667,0.7185714285714285,218,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size' 'time'],cityblock,9,0.7166666666666667,0.7185714285714285,215,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size' 'time'],cityblock,10,0.7133333333333334,0.7185714285714285,214,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size' 'time'],euclidean,1,1.0,0.6557142857142857,300,459,[ 74 213  13],[163 503  34],[ 30 429   0]
1000,10485760,['size' 'time'],euclidean,2,0.8166666666666667,0.5457142857142857,245,382,[ 74 213  13],[163 503  34],[ 60 322   0]
1000,10485760,['size' 'time'],euclidean,3,0.7866666666666666,0.7057142857142857,236,494,[ 74 213  13],[163 503  34],[  3 491   0]
1000,10485760,['size' 'time'],euclidean,4,0.8333333333333334,0.6914285714285714,250,484,[ 74 213  13],[163 503  34],[ 10 474   0]
1000,10485760,['size' 'time'],euclidean,5,0.72,0.7142857142857143,216,500,[ 74 213  13],[163 503  34],[  0 500   0]
1000,10485760,['size' 'time'],euclidean,6,0.73,0.7071428571428572,219,495,[ 74 213  13],[163 503  34],[  8 487   0]
1000,10485760,['size' 'time'],euclidean,7,0.7166666666666667,0.7157142857142857,215,501,[ 74 213  13],[163 503  34],[  1 500   0]
1000,10485760,['size' 'time'],euclidean,8,0.7133333333333334,0.7185714285714285,214,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size' 'time'],euclidean,9,0.71,0.7185714285714285,213,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size' 'time'],euclidean,10,0.71,0.7185714285714285,213,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size' 'time'],minkowski,1,1.0,0.6557142857142857,300,459,[ 74 213  13],[163 503  34],[ 30 429   0]
1000,10485760,['size' 'time'],minkowski,2,0.8166666666666667,0.5457142857142857,245,382,[ 74 213  13],[163 503  34],[ 60 322   0]
1000,10485760,['size' 'time'],minkowski,3,0.7866666666666666,0.7057142857142857,236,494,[ 74 213  13],[163 503  34],[  3 491   0]
1000,10485760,['size' 'time'],minkowski,4,0.8333333333333334,0.6914285714285714,250,484,[ 74 213  13],[163 503  34],[ 10 474   0]
1000,10485760,['size' 'time'],minkowski,5,0.72,0.7142857142857143,216,500,[ 74 213  13],[163 503  34],[  0 500   0]
1000,10485760,['size' 'time'],minkowski,6,0.73,0.7071428571428572,219,495,[ 74 213  13],[163 503  34],[  8 487   0]
