length,size,datatype,metric,NeighNum,res_train (mean),res_test (mean),res_train,res_test,train_nums,test_nums,pred_nums
1000,10485760,"['size', 'time']",braycurtis,1,1.0,0.7171428571428572,300,502,[217  83],[522 178],"[491, 11]"
1000,10485760,"['size', 'time']",braycurtis,2,0.73,0.7457142857142857,219,522,[217  83],[522 178],"[521, 1]"
1000,10485760,"['size', 'time']",braycurtis,3,0.7566666666666667,0.7428571428571429,227,520,[217  83],[522 178],"[517, 3]"
1000,10485760,"['size', 'time']",braycurtis,4,0.7266666666666667,0.7457142857142857,218,522,[217  83],[522 178],"[522, 0]"
1000,10485760,"['size', 'time']",braycurtis,5,0.7366666666666667,0.7385714285714285,221,517,[217  83],[522 178],"[516, 1]"
1000,10485760,"['size', 'time']",braycurtis,6,0.7266666666666667,0.7442857142857143,218,521,[217  83],[522 178],"[521, 0]"
1000,10485760,"['size', 'time']",braycurtis,7,0.73,0.7357142857142858,219,515,[217  83],[522 178],"[514, 1]"
1000,10485760,"['size', 'time']",braycurtis,8,0.7266666666666667,0.7414285714285714,218,519,[217  83],[522 178],"[518, 1]"
1000,10485760,"['size', 'time']",braycurtis,9,0.73,0.7371428571428571,219,516,[217  83],[522 178],"[514, 2]"
1000,10485760,"['size', 'time']",braycurtis,10,0.7233333333333334,0.7457142857142857,217,522,[217  83],[522 178],"[521, 1]"
1000,10485760,"['size', 'time']",braycurtis,11,0.73,0.7457142857142857,219,522,[217  83],[522 178],"[520, 2]"
1000,10485760,"['size', 'time']",braycurtis,12,0.7233333333333334,0.7457142857142857,217,522,[217  83],[522 178],"[522, 0]"
1000,10485760,"['size', 'time']",braycurtis,13,0.7233333333333334,0.7442857142857143,217,521,[217  83],[522 178],"[521, 0]"
1000,10485760,"['size', 'time']",braycurtis,14,0.7233333333333334,0.7457142857142857,217,522,[217  83],[522 178],"[522, 0]"
1000,10485760,"['size', 'time']",braycurtis,15,0.7233333333333334,0.7457142857142857,217,522,[217  83],[522 178],"[522, 0]"
1000,10485760,"['size', 'time']",braycurtis,16,0.7233333333333334,0.7457142857142857,217,522,[217  83],[522 178],"[522, 0]"
1000,10485760,"['size', 'time']",braycurtis,17,0.7233333333333334,0.7457142857142857,217,522,[217  83],[522 178],"[522, 0]"
1000,10485760,"['size', 'time']",braycurtis,18,0.7233333333333334,0.7457142857142857,217,522,[217  83],[522 178],"[522, 0]"
1000,10485760,"['size', 'time']",braycurtis,19,0.7233333333333334,0.7457142857142857,217,522,[217  83],[522 178],"[522, 0]"
1000,10485760,"['size', 'time']",braycurtis,20,0.7233333333333334,0.7457142857142857,217,522,[217  83],[522 178],"[522, 0]"
1000,10485760,"['size', 'time']",canberra,1,1.0,0.6871428571428572,300,481,[217  83],[522 178],"[458, 23]"
1000,10485760,"['size', 'time']",canberra,2,0.7666666666666667,0.7328571428571429,230,513,[217  83],[522 178],"[504, 9]"
1000,10485760,"['size', 'time']",canberra,3,0.77,0.7128571428571429,231,499,[217  83],[522 178],"[484, 15]"
1000,10485760,"['size', 'time']",canberra,4,0.7433333333333333,0.73,223,511,[217  83],[522 178],"[504, 7]"
1000,10485760,"['size', 'time']",canberra,5,0.7533333333333333,0.7242857142857143,226,507,[217  83],[522 178],"[494, 13]"
1000,10485760,"['size', 'time']",canberra,6,0.74,0.7314285714285714,222,512,[217  83],[522 178],"[505, 7]"
1000,10485760,"['size', 'time']",canberra,7,0.76,0.7271428571428571,228,509,[217  83],[522 178],"[494, 15]"
1000,10485760,"['size', 'time']",canberra,8,0.7333333333333333,0.75,220,525,[217  83],[522 178],"[516, 9]"
1000,10485760,"['size', 'time']",canberra,9,0.73,0.7328571428571429,219,513,[217  83],[522 178],"[501, 12]"
1000,10485760,"['size', 'time']",canberra,10,0.72,0.7428571428571429,216,520,[217  83],[522 178],"[517, 3]"
1000,10485760,"['size', 'time']",canberra,11,0.7166666666666667,0.7385714285714285,215,517,[217  83],[522 178],"[509, 8]"
1000,10485760,"['size', 'time']",canberra,12,0.72,0.7457142857142857,216,522,[217  83],[522 178],"[520, 2]"
1000,10485760,"['size', 'time']",canberra,13,0.7233333333333334,0.7442857142857143,217,521,[217  83],[522 178],"[517, 4]"
1000,10485760,"['size', 'time']",canberra,14,0.7233333333333334,0.7428571428571429,217,520,[217  83],[522 178],"[520, 0]"
1000,10485760,"['size', 'time']",canberra,15,0.7266666666666667,0.7428571428571429,218,520,[217  83],[522 178],"[518, 2]"
1000,10485760,"['size', 'time']",canberra,16,0.7266666666666667,0.7442857142857143,218,521,[217  83],[522 178],"[520, 1]"
1000,10485760,"['size', 'time']",canberra,17,0.7233333333333334,0.7442857142857143,217,521,[217  83],[522 178],"[519, 2]"
1000,10485760,"['size', 'time']",canberra,18,0.7233333333333334,0.7471428571428571,217,523,[217  83],[522 178],"[521, 2]"
1000,10485760,"['size', 'time']",canberra,19,0.72,0.7471428571428571,216,523,[217  83],[522 178],"[520, 3]"
1000,10485760,"['size', 'time']",canberra,20,0.72,0.7471428571428571,216,523,[217  83],[522 178],"[522, 1]"
1000,10485760,"['size', 'time']",chebyshev,1,1.0,0.6057142857142858,300,424,[217  83],[522 178],"[372, 52]"
1000,10485760,"['size', 'time']",chebyshev,2,0.8066666666666666,0.7171428571428572,242,502,[217  83],[522 178],"[486, 16]"
1000,10485760,"['size', 'time']",chebyshev,3,0.7666666666666667,0.66,230,462,[217  83],[522 178],"[427, 35]"
1000,10485760,"['size', 'time']",chebyshev,4,0.7433333333333333,0.7285714285714285,223,510,[217  83],[522 178],"[498, 12]"
1000,10485760,"['size', 'time']",chebyshev,5,0.7633333333333333,0.69,229,483,[217  83],[522 178],"[460, 23]"
1000,10485760,"['size', 'time']",chebyshev,6,0.73,0.7285714285714285,219,510,[217  83],[522 178],"[500, 10]"
